character,line
Claire,"Kids, breakfast! Kids? Phil, would you get them?"
Phil,"Yeah, just a sec."
Claire,Kids!
Phil,"That is so,.."
Claire,Okay...
Phil,"Kids, get down here!"
Haley,"Why are you guys yelling at us, when we're way upstairs, just text me."
Claire,"Alright, That's not gonna happen, and, wow, you're not wearing that outfit."
Haley,What's Wrong with it?
Claire,"Honey, do you have anything to say to your daughter... about her skirt?"
Phil,"Sorry? Oh yeah, that looks really cute sweetheart!"
Haley,Thanks!
Claire,"No, it's way to short, people know you're a girl, you don't need to prove it to them."
Alex,Luke got his head stuck in the banister again.
Phil,I got it. Where's the baby oil?
Claire,"It's on our bedside tip... I Don't know, find it. Come on!"
Claire,"I... was out of control growing up, there, you know, i said it. I...I, I just don't want my kids to make the same bad mistakes i made. If Haley never would exhibit on a beach in Florida, half naked... I've done my job."
Phil,Our job.
Claire,Right... I've done our job.
Gloria,Bravo Manny! Kick it! Kick it! Manny go! No! That was a penalty!
Jay,"Gloria, there Owen's six, Let's take it down a notch."
Gloria,"We're, very different. He's from the city. He has big business. I come from a small village, very poor, but very very beautiful. It's the number one village in North-Columbia for all the... what's the word?"
Jay,Murders.
Gloria,"Yes, the murders."
Gloria,"Manny, stop him! Stop him!"
Gloria,You wanna take him out? How about I take you out!?
Jay,"Honey, honey..."
Gloria,Why don't you worry about your son! He's spend the first half with his hands in his pants!
Gloria,"Hi, I'm Gloria Pritchett... Manny's mother."
Jay,"Her dad? Uh, no, no, that's funny. Actually no, I'm her husband! Don't be fooled by the... Give me a second here."
Mitchell,Who's the good girl? Who's that?
Mitchell,"Oh, thank you!"
Mitchell,"Hello. Hi, hi. We've just adopted her from Vietnam and we're bringing her home for the first time."
Cameron,"Sorry, sorry, sorry, Daddy needed snacks. Hi! So, what are we talking about?"
Mitchell,"We have been together for... five, five years now? And we've decided we really wanted to have a baby... so, we initially asked one of our lesbian friends to be a surrogate."
Cameron,"Then we figured, they are already mean enough. Can you imagine one of them pregnant? No, thank you. Ekk..."
Mitchell,"You saw that right? Everybody fondling up to Lillian, then you walk on... and suddenly it's all ""Huu..."". I'm gonna give a speech."
Cameron,You are not giving a speech ... you gonna stuck with this people for the next five hours!
Mitchell,"You're right, it's okay, I'm sorry."
Mitchell,"Okay, excuse me. Excuse me, but this baby would have grown up in a crowded orphanage if it wasn't for us cream puffs ... and you know what, to all of you who judge, hear this, love knows no race..."
Cameron,Mitchell!
Mitchell,"... creed or gender and shame on you! You small minded, ignorant fe..."
Cameron,Mitchell!!
Mitchell,What?
Cameron,She's got the cream puffs.
