character,line
Claire,"Honey, do you need me to move the car?"
Phil,"Ho, no! It's nothing. I'm alright. Oh no! Iron cross"
Claire,Oh God... Phil... You okay?
Phil,Yes. I am. I am okay.
Claire,"Honey, why do we keep this car?"
Phil,It's a classic!
Claire,"No, it just sits here. And the seatbelts don't work. The doors stick. It leaks fluids. We haven't put fluids in it in 10 years."
Phil,"Well, I'm gonna fix all that anyway. And then, uh, it's gonna be Haley's car."
Claire,"Oh, we're not giving this car to Haley. It's way too easy to fit a mattress in the back."
Phil,Remember?
Claire,"Oh, no. We're selling it."
Phil,What?!
Claire,Mm-hmm. Unless you don't think you can.
Phil,Really?
Claire,Yeah.
Phil,Seriously?
Claire,You can't.
Phil,You honestly think that's gonna work?
Claire,You can't sell it.
Phil,"You know what? You can insult a lot of things about me... My hair, my voice, my balance-board exercises... But don't insult my selling. That crosses a line. What line? Oh, you don't see it? That's 'cause I just sold it."
Cameron,"""while the spray-tanned starlet claims to be six weeks sober, sources down under say she has been bar-hopping like a coked-up kangaroo."""
Mitchell,"Ah, what's daddy reading to you?"
Cameron,"If I have to read ""the very hungry caterpillar"" One more time, I will snap."
Mitchell,"Oh, it's not that bad."
Cameron,I will snap!
Mitchell,"So, um, I laid the toolbox outside, And all the supplies are ready, And I think we are good to go!"
Cameron,Terrific.
Mitchell,Aren't you gonna change into a working man's outfit?
Cameron,"No, I'm good, And I don't think workmen really call them ""outfits."""
Mitchell,"We are building a princess castle for Lily. Uh, it's something every father wants to be able to do for his daughter. You know. And I fancy myself as a bit of a castle designer. I have done a few sketches."
Cameron,Which we have archived so we can use the kit.
Mitchell,"Mm, yeah."
Cameron,The kit.
Mitchell,"Uh, the kit. Which, uh, we're gonna do together."
Cameron,"I am petrified to do this with Mitchell. He built a couple of theater sets in college or something, and now he thinks he knows everything about building. Well, he doesn't. Every home-improvement project that we've undertaken has been a near-death experience."
Cameron,Make the appetizers. And then we'll be...
Cameron,"If an accident does happen, I hope he kills me... because I don't think I would be a very inspiring disabled person."
Gloria,"Honey, relax. She's not here yet."
Jay,You might want to play it a little cooler. You don't want to scare off your girlfriend.
Manny,"She's not my girlfriend! She's just coming over to study the life cycle of silkworms. Oh. She's here. She's here! Okay, how's my hair?"
Jay,I thought it was just a friend.
Manny,I heard that.
Jay,I wasn't whispering.
Gloria,"Manny, open the door. Make her feel welcome."
Manny,"Kelly! Good morning. Uh, I'm glad you're here. Um, this is my mom."
Gloria,Nice to meet you!
Gloria,"In my culture, mothers are very clingy to their sons. In fact, the leading cause of death among Colombian women is when their sons get married. But I'm not like that. I just want my Manny to be happy."
Gloria,"Manny, why don't you give your friend Kelly an empanada?"
Gloria,"Oh, I'm sure one won't make a difference. They're Manny's favorite!"
Manny,"I...Think I'm going to stop eating trans fats, too."
Luke,Mom? When was this from?
Claire,Oh... That's the year your dad and I went to the rose bowl.
Phil,Incredible game.
Claire,Yeah.
Luke,"Mom, you look really pretty."
Claire,"Thank you, sweetheart."
Luke,"So, what happened?"
Phil,"Well, Lukey, everyone gets older. Just 'cause parts of your mom aren't what they used to be, It doesn't me..."
Luke,"I mean, what happened in the game?"
Phil,"We got our butts kicked by penn state. The parade was awesome, though. Angela Lansbury was the grand marshal. ""good time, she wrote."""
Claire,"Okay, guys. Let's get back to it. No one's gonna buy this heap looking this way."
Haley,"Hey, mom, which one is the garbage can?"
Claire,"Um, it... Honey, you can't throw that away. It's blankety."
Haley,It's disgusting.
Claire,"No, sweetie, you loved blankety. You wouldn't go anywhere without him."
Phil,"Yeah, until Luke threw up on it."
Luke,yeah. I used to throw up all the time. Remember buckety?
Claire,"Oh! Oh, look at this."
Haley,What is that?
Claire,"We went to the beach one day, and had such a good time that he wanted to being home a jar of sunshine so he could always remember it. Do you remember, Honey?"
Luke,"Oh, no... no, no, don't... don't open it."
Alex,"You really think you trapped sunshine in there? I'm just letting you know now, I'm not taking care of him when you guys die."
Claire,Stop. It's sweet.
Luke,Still feels hot. Mm.
Phil,Hey! It's that guy who came by earlier. He was really interested. What was his name? Shoot!
Phil,"Well, you can't be in sales and not remember people's names. That's why I like to use what they call ""minimonic"" devices. They're little tricks to help you remember. Um, like t other day, I met this guy named Carl. Now, I might forget that name, But he was wearing a grateful dead t-shirt. What's a band like the grateful dead? Phish. Where do fish live? The ocean. What else lives in the ocean? Coral. Hello, ""coral."""
Claire,"I think it's ""mnemonic."""
Phil,I-I think I'd remember.
